k,m,logm_k
1,1
2,4,2
3,12,2.26186
4,18,2.08496
5,54,2.4785
6,64,2.32112
7,112,2.42483
8,150,2.40961
9,150,2.28044
10,225,2.35218
11,363,2.45816
12,405,2.41614
13,735,2.5731
14,735,2.50084
15,1056,2.57094
16,1056,2.5111
17,1408,2.55891
18,1408,2.5083
19,2058,2.59115
20,2058,2.54679
21,2312,2.5442
22,2312,2.50591
23,2312,2.47038
24,2312,2.4373
25,2312,2.40639
26,2312,2.37742
27,2312,2.3502
28,6006,2.61104
29,6960,2.62761
30,6960,2.60142
31,10304,2.69083
32,12012,2.71044
33,12012,2.68658
34,12012,2.66384
35,12012,2.64212
36,12012,2.62135
37,12025,2.60176
38,12025,2.58269
39,17500,2.66679
40,17500,2.64849
41,17500,2.63088
42,17500,2.61392
43,20832,2.6439
44,20832,2.62784
45,20832,2.61233
46,20832,2.59733
47,28224,2.6617
48,31500,2.67559
49,31500,2.66141
50,31500,2.64767
51,31500,2.63433
52,45760,2.7159
53,51520,2.73273
54,51520,2.71992
55,51520,2.70747
56,51520,2.69535
57,51520,2.68355
58,56700,2.69565
59,59059,2.69434
60,59059,2.68328
61,72384,2.72199
62,72384,2.71126
63,87616,2.74689
64,87616,2.73648
65,87616,2.72632
66,87616,2.71639
67,87616,2.70667
68,87616,2.69717
69,87616,2.68787
70,87616,2.67876
71,136530,2.77391
72,136530,2.76484
73,136530,2.75595
74,190650,2.82482
75,190650,2.81603
76,190650,2.80742
77,190650,2.79897
78,190650,2.79068
79,245830,2.84072
80,245830,2.83257
81,245830,2.82456
82,245830,2.8167
83,245830,2.80897
84,245830,2.80138
85,245830,2.79392
86,341341,2.86027
87,341341,2.85287
88,341341,2.84558
89,341341,2.83842
90,341341,2.83137
91,381311,2.84898
92,381311,2.8421
93,381311,2.83532
94,381311,2.82865
95,381311,2.82207
96,381311,2.8156
97,381311,2.80922
98,381311,2.80294
99,381311,2.79674
100,381311,2.79064
101,585915,2.8777
102,585915,2.87157
103,585915,2.86552
104,585915,2.85956
105,585915,2.85368
106,585915,2.84788
107,585932,2.84217
108,741762,2.88689
109,844360,2.90883
110,844360,2.90318
111,844360,2.8976
112,844360,2.89209
113,879498,2.89528
114,879498,2.88989
115,879498,2.88457
116,879498,2.87932
117,879498,2.87413
118,879498,2.869
119,879498,2.86394
120,879498,2.85893
121,879498,2.85398
122,1582080,2.97131
123,1582080,2.96627
124,1582080,2.96129
125,1582080,2.95636
126,1582080,2.95149
127,1582080,2.94668
128,1582080,2.94191
129,1697892,2.95174
130,1697892,2.94706
131,1697892,2.94242
132,1697892,2.93784
133,1697892,2.93331
134,1697892,2.92882
135,1697892,2.92438
